Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Trend_Up
2019-07-22,4090.83837890625,4099.92919921875,4054.475341796875,4090.83837890625,3428.6298828125,95796820.5,2019,July,Monday,1
2019-07-23,4090.83837890625,4090.83837890625,4063.566162109375,4081.74755859375,3421.0107421875,95796820.5,2019,July,Tuesday,0
2019-07-24,4109.02001953125,4109.02001953125,4036.2939453125,4045.384765625,3390.5341796875,95796820.5,2019,July,Wednesday,0
2019-07-25,4063.566162109375,4072.656982421875,4045.384765625,4054.475341796875,3398.153076171875,95796820.5,2019,July,Thursday,1
2019-07-26,4009.021728515625,4063.566162109375,3999.930908203125,4036.2939453125,3382.914794921875,95796820.5,2019,July,Friday,0
2019-07-29,4072.656982421875,4072.656982421875,4036.2939453125,4054.475341796875,3398.153076171875,101066445.0,2019,July,Monday,1
2019-07-30,4090.83837890625,4090.83837890625,4054.475341796875,4090.83837890625,3428.6298828125,95796820.5,2019,July,Tuesday,1
2019-07-31,4090.83837890625,4099.92919921875,4045.384765625,4072.656982421875,3413.391845703125,116420070.0,2019,July,Wednesday,0
2019-08-01,4081.74755859375,4099.92919921875,4009.021728515625,4045.384765625,3390.5341796875,157991988.0,2019,August,Thursday,0
2019-08-02,3999.930908203125,4063.566162109375,3990.840087890625,4045.384765625,3390.5341796875,131279017.0,2019,August,Friday,0
2019-08-05,4009.021728515625,4018.1123046875,3881.751220703125,3881.751220703125,3253.388671875,165923785.0,2019,August,Monday,0
2019-08-06,3727.208251953125,3827.20654296875,3654.482421875,3727.208251953125,3139.10107421875,184441697.5,2019,August,Tuesday,0
2019-08-07,3763.5712890625,3899.9326171875,3763.5712890625,3863.569580078125,3238.150634765625,161676832.0,2019,August,Wednesday,1
2019-08-08,3863.569580078125,3927.204833984375,3863.569580078125,3899.9326171875,3268.626953125,102671923.0,2019,August,Thursday,1
2019-08-09,3936.295654296875,3954.47705078125,3909.0234375,3936.295654296875,3299.103759765625,95796820.5,2019,August,Friday,1
2019-08-12,3981.74951171875,3981.74951171875,3899.9326171875,3909.0234375,3276.246337890625,95796820.5,2019,August,Monday,0
2019-08-13,3936.295654296875,3936.295654296875,3863.569580078125,3890.841796875,3261.0078125,95796820.5,2019,August,Tuesday,0
2019-08-14,3936.295654296875,3954.47705078125,3918.1142578125,3936.295654296875,3299.103759765625,102602292.0,2019,August,Wednesday,1
2019-08-15,3827.20654296875,3890.841796875,3799.934326171875,3863.569580078125,3238.150634765625,126758709.0,2019,August,Thursday,0
2019-08-16,3863.569580078125,3872.660400390625,3818.115966796875,3827.20654296875,3207.673828125,102969368.0,2019,August,Friday,0
2019-08-19,3754.480712890625,3836.29736328125,3754.480712890625,3799.934326171875,3184.816162109375,95796820.5,2019,August,Monday,0
2019-08-20,3799.934326171875,3818.115966796875,3718.11767578125,3727.208251953125,3139.10107421875,112883069.0,2019,August,Tuesday,0
2019-08-21,3727.208251953125,3790.843505859375,3672.663818359375,3681.754638671875,3139.10107421875,95796820.5,2019,August,Wednesday,0
2019-08-22,3690.845458984375,3763.5712890625,3636.30078125,3699.93603515625,3139.10107421875,136489697.0,2019,August,Thursday,1
2019-08-23,3663.572998046875,3727.208251953125,3654.482421875,3709.02685546875,3139.10107421875,95796820.5,2019,August,Friday,1
2019-08-26,3654.482421875,3699.93603515625,3636.30078125,3699.93603515625,3139.10107421875,95796820.5,2019,August,Monday,0
2019-08-27,3754.480712890625,3827.20654296875,3709.02685546875,3818.115966796875,3200.054443359375,184441697.5,2019,August,Tuesday,1
2019-08-28,3836.29736328125,3854.478759765625,3809.025146484375,3809.025146484375,3192.435302734375,109954819.0,2019,August,Wednesday,0
2019-08-29,3836.29736328125,3836.29736328125,3781.7529296875,3818.115966796875,3200.054443359375,95796820.5,2019,August,Thursday,1
2019-08-30,3809.025146484375,3881.751220703125,3745.389892578125,3881.751220703125,3253.388671875,119899980.0,2019,August,Friday,1
